           km_, km_check_num,   km_namen, km_rank_under, km_rank_top,    km_link, 
549 : mons_MF0010_100_clr1_DLC,          7,       2494,          0,        999,         -1, 
550 :          @,          0,       2509,          0,        999,         -1, 
551 :          @,          0,       2512,          0,        999,         -1, 
552 :          @,          0,       2515,          0,        999,         -1, 
553 :          @,          0,       2518,          0,        999,         -1, 
554 :          @,          0,         -1,         -1,         -1,        310, 
555 :          @,          0,         -1,         -1,         -1,        285, 
556 : mons_MF0010_100_clr1_NM_003,         17,       2177,          0,         31,         -1, 
557 :          @,          0,       2178,         31,         45,         -1, 
558 :          @,          0,       2179,         45,        999,         -1, 
559 :          @,          0,       2492,          0,         52,         -1, 
560 :          @,          0,       2493,         52,         65,         -1, 
561 :          @,          0,       2494,         65,        999,         -1, 
562 :          @,          0,       2496,          0,         39,         -1, 
563 :          @,          0,       2497,         39,        999,         -1, 
564 :          @,          0,       2507,          0,         59,         -1, 
565 :          @,          0,       2508,         59,         73,         -1, 
